	2844
1963_MYSTERY	1
1963_ROMANCE	1
1964_ACTION	1
1964_ADVENTURE	1
1964_ANIMATION	1
1964_COMEDY	3
1964_DOCUMENTARY	1
1964_DRAMA	6
1964_FAMILY	2
1964_MUSIC	1
1964_ROMANCE	2
1964_THRILLER	1
1964_WAR	1
1964_WESTERN	1
1965_ADVENTURE	1
1965_ANIMATION	3
1965_COMEDY	4
1965_CRIME	2
1965_DOCUMENTARY	2
1965_DRAMA	10
1965_FAMILY	2
1965_FANTASY	1
1965_HISTORY	2
1965_MUSIC	1
1965_MYSTERY	1
1965_ROMANCE	3
1965_SCI-FI	1
1965_SHORT	1
1965_WAR	6
1965_WESTERN	1
1966_ACTION	2
1966_ANIMATION	2
1966_BIOGRAPHY	1
1966_COMEDY	3
1966_CRIME	2
1966_DRAMA	10
1966_FAMILY	2
1966_HISTORY	3
1966_ROMANCE	2
1966_WAR	1
1966_WESTERN	1
1967_COMEDY	2
1967_CRIME	2
1967_DOCUMENTARY	1
1967_DRAMA	7
1967_HISTORY	3
1967_MYSTERY	1
1967_ROMANCE	2
1967_WAR	1
1968_ADVENTURE	1
1968_ANIMATION	2
1968_COMEDY	4
1968_DOCUMENTARY	2
1968_DRAMA	4
1968_HISTORY	2
1968_MUSIC	2
1968_MUSICAL	1
1968_MYSTERY	1
1968_ROMANCE	1
1968_SCI-FI	1
1968_SHORT	2
1968_WAR	1
1968_WESTERN	2
1969_ACTION	1
1969_ADVENTURE	3
1969_ANIMATION	2
1969_BIOGRAPHY	2
1969_COMEDY	2
1969_CRIME	3
1969_DOCUMENTARY	2
1969_DRAMA	11
1969_FAMILY	2
1969_FANTASY	1
1969_HISTORY	3
1969_HORROR	1
1969_ROMANCE	2
1969_SHORT	2
1969_THRILLER	2
1969_WAR	4
1969_WESTERN	2
1970_ACTION	3
1970_ADVENTURE	1
1970_ANIMATION	1
1970_BIOGRAPHY	2
1970_COMEDY	3
1970_CRIME	2
1970_DOCUMENTARY	3
1970_DRAMA	8
1970_HISTORY	3
1970_MUSIC	2
1970_SHORT	1
1970_THRILLER	1
1970_WAR	1
1971_ANIMATION	2
1971_COMEDY	3
1971_CRIME	2
1971_DOCUMENTARY	2
1971_DRAMA	8
1971_FAMILY	2
1971_HORROR	1
1971_MUSIC	1
1971_SCI-FI	1
1971_SHORT	2
1971_WAR	1
1972_ACTION	2
1972_ANIMATION	1
1972_COMEDY	1
1972_CRIME	1
1972_DOCUMENTARY	5
1972_DRAMA	8
1972_FAMILY	1
1972_HISTORY	2
1972_MUSIC	3
1972_MYSTERY	2
1972_ROMANCE	1
1972_SCI-FI	1
1972_SHORT	1
1972_THRILLER	1
1972_WAR	4
1973_ADVENTURE	2
1973_BIOGRAPHY	1
1973_COMEDY	3
1973_CRIME	3
1973_DOCUMENTARY	2
1973_DRAMA	6
1973_HISTORY	1
1973_MUSICAL	1
1973_ROMANCE	1
1973_SHORT	1
1974_ADVENTURE	2
1974_BIOGRAPHY	3
1974_COMEDY	6
1974_CRIME	2
1974_DOCUMENTARY	3
1974_DRAMA	11
1974_FAMILY	1
1974_HISTORY	1
1974_MYSTERY	1
1974_WAR	2
1975_ACTION	2
1975_ADVENTURE	5
1975_ANIMATION	4
1975_BIOGRAPHY	2
1975_COMEDY	12
1975_CRIME	1
1975_DOCUMENTARY	3
1975_DRAMA	14
1975_FAMILY	3
1975_FANTASY	1
1975_HISTORY	2
1975_ROMANCE	4
1975_SHORT	3
1975_THRILLER	1
1975_WAR	1
1976_ACTION	1
1976_ADVENTURE	2
1976_ANIMATION	1
1976_BIOGRAPHY	1
1976_COMEDY	4
1976_CRIME	1
1976_DOCUMENTARY	1
1976_DRAMA	9
1976_HISTORY	2
1976_MYSTERY	1
1976_ROMANCE	1
1976_SPORT	1
1976_WAR	1
1977_ACTION	1
1977_ADVENTURE	3
1977_ANIMATION	1
1977_BIOGRAPHY	3
1977_COMEDY	11
1977_CRIME	1
1977_DOCUMENTARY	4
1977_DRAMA	12
1977_FAMILY	2
1977_FANTASY	1
1977_HISTORY	3
1977_MYSTERY	2
1977_ROMANCE	3
1977_SHORT	1
1977_WAR	2
1978_ACTION	1
1978_ADVENTURE	4
1978_ANIMATION	2
1978_COMEDY	8
1978_DOCUMENTARY	4
1978_DRAMA	12
1978_FAMILY	3
1978_HISTORY	1
1978_MUSIC	2
1978_MUSICAL	2
1978_ROMANCE	2
1978_SHORT	1
1978_WAR	2
1979_ADVENTURE	2
1979_ANIMATION	1
1979_COMEDY	9
1979_CRIME	5
1979_DOCUMENTARY	5
1979_DRAMA	10
1979_FAMILY	1
1979_FANTASY	2
1979_HISTORY	3
1979_HORROR	2
1979_MUSIC	2
1979_MUSICAL	2
1979_MYSTERY	3
1979_ROMANCE	1
1979_SCI-FI	2
1979_SHORT	1
1979_THRILLER	1
1979_WAR	3
1980_ACTION	1
1980_ADVENTURE	2
1980_ANIMATION	1
1980_BIOGRAPHY	2
1980_COMEDY	6
1980_CRIME	3
1980_DOCUMENTARY	4
1980_DRAMA	7
1980_FANTASY	1
1980_HISTORY	1
1980_HORROR	1
1980_MUSIC	1
1980_MYSTERY	3
1980_ROMANCE	1
1980_SHORT	2
1980_SPORT	1
1981_ACTION	1
1981_ADVENTURE	4
1981_ANIMATION	3
1981_BIOGRAPHY	1
1981_COMEDY	8
1981_CRIME	2
1981_DRAMA	8
1981_FAMILY	1
1981_HISTORY	3
1981_MUSICAL	1
1981_MYSTERY	1
1981_ROMANCE	1
1981_SCI-FI	1
1981_SHORT	1
1981_WAR	1
1982_ADVENTURE	2
1982_ANIMATION	3
1982_BIOGRAPHY	2
1982_COMEDY	2
1982_CRIME	1
1982_DOCUMENTARY	1
1982_DRAMA	9
1982_FAMILY	1
1982_HISTORY	1
1982_HORROR	1
1982_MUSIC	1
1982_MUSICAL	1
1982_MYSTERY	1
1982_ROMANCE	1
1982_SCI-FI	2
1982_SHORT	3
1982_THRILLER	2
1983_ACTION	2
1983_ADVENTURE	3
1983_ANIMATION	5
1983_BIOGRAPHY	2
1983_COMEDY	12
1983_CRIME	4
1983_DOCUMENTARY	5
1983_DRAMA	10
1983_FAMILY	4
1983_FANTASY	2
1983_HISTORY	1
1983_HORROR	1
1983_MUSIC	3
1983_MUSICAL	2
1983_MYSTERY	2
1983_ROMANCE	1
1983_SCI-FI	1
1983_SHORT	5
1984_ACTION	1
1984_ADVENTURE	2
1984_ANIMATION	5
1984_BIOGRAPHY	3
1984_COMEDY	6
1984_CRIME	1
1984_DOCUMENTARY	5
1984_DRAMA	11
1984_FAMILY	2
1984_FANTASY	2
1984_HISTORY	2
1984_HORROR	1
1984_MUSIC	1
1984_MUSICAL	1
1984_ROMANCE	3
1984_SCI-FI	1
1984_SHORT	2
1984_WAR	1
1985_ACTION	1
1985_ADVENTURE	3
1985_ANIMATION	1
1985_COMEDY	5
1985_DOCUMENTARY	4
1985_DRAMA	7
1985_FAMILY	1
1985_HISTORY	3
1985_ROMANCE	2
1985_SCI-FI	2
1985_SHORT	1
1985_WAR	3
1986_	1
1986_ACTION	1
1986_ADVENTURE	4
1986_ANIMATION	5
1986_BIOGRAPHY	1
1986_COMEDY	9
1986_CRIME	2
1986_DOCUMENTARY	8
1986_DRAMA	9
1986_FAMILY	2
1986_HISTORY	1
1986_HORROR	1
1986_MUSIC	1
1986_MYSTERY	2
1986_ROMANCE	1
