	2844
TAJIKISTAN	351
TANZANIA	441
THAILAND	9989
THE DEMOCRATIC REPUBLIC OF CONGO	98
TRINIDAD AND TOBAGO	86
TUNISIA	2236
TURKEY	19806
UGANDA	243
UK	488153
UKRAINE	4616
UNITED ARAB EMIRATES	3202
URUGUAY	2038
USA	2254075
UZBEKISTAN	324
VANUATU	100
VENEZUELA	1924
VIETNAM	1233
WEST GERMANY	58389
YUGOSLAVIA	8742
ZAIRE	80
ZIMBABWE	210
